type,event_type,startedAt,duration,cause,cpu_user,cpu_kernel,cpu_wallClock,heap_occupancy_before_coll,heap_occupancy_after_coll,heap_size_before_coll,heap_size_after_coll,perm_or_meta_occupancy_before_coll,perm_or_meta_occupancy_after_coll,perm_or_meta_size_before_coll,perm_or_meta_size_after_coll
Young,PauseEvent,2023-07-18T18:41:22.383+02:00@2188687.896,0.005869,G1_EVACUATION_PAUSE,0.01,0.0,0.01,749568,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:30.013+02:00@2188695.527,0.007781,G1_EVACUATION_PAUSE,0.01,0.0,0.01,734208,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:36.681+02:00@2188702.194,0.006208999999999999,G1_EVACUATION_PAUSE,0.01,0.0,0.0,740352,180224,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:42.772+02:00@2188708.285,0.010475,G1_EVACUATION_PAUSE,0.02,0.01,0.01,737280,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:49.063+02:00@2188714.577,0.007284,G1_EVACUATION_PAUSE,0.01,0.0,0.01,780288,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:41:54.677+02:00@2188720.190,0.007314,G1_EVACUATION_PAUSE,0.01,0.0,0.0,741376,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:00.934+02:00@2188726.447,0.00567,G1_EVACUATION_PAUSE,0.01,0.0,0.01,741376,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:07.813+02:00@2188733.326,0.005966,G1_EVACUATION_PAUSE,0.01,0.01,0.01,750592,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:14.461+02:00@2188739.975,0.00852,G1_EVACUATION_PAUSE,0.02,0.0,0.01,759808,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:21.377+02:00@2188746.891,0.006181,G1_EVACUATION_PAUSE,0.01,0.0,0.0,753664,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:27.018+02:00@2188752.531,0.006677,G1_EVACUATION_PAUSE,0.01,0.0,0.0,741376,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:34.693+02:00@2188760.206,0.009483,G1_EVACUATION_PAUSE,0.01,0.0,0.01,753664,182272,921600,921600,111841,111841,112576,112576
G1GCYoungInitialMark,PauseEvent,2023-07-18T18:42:39.353+02:00@2188764.866,0.007054,G1_HUMONGOUS_ALLOCATION,0.01,0.0,0.01,680960,184320,921600,921600,111841,111841,112576,112576
G1GCConcurrentUndoCycle,ConcurrentEvent,2023-07-18T18:42:39.360+02:00@2188764.874,0.005322,GCCAUSE_NOT_SET,0,0,0,0,0,0,0,0,0,0,0
ConcurrentCleanupForNextMark,ConcurrentEvent,2023-07-18T18:42:39.360+02:00@2188764.874,0.0052569999999999995,UNKNOWN_GCCAUSE,0,0,0,0,0,0,0,0,0,0,0
Young,PauseEvent,2023-07-18T18:42:46.219+02:00@2188771.732,0.006292,G1_EVACUATION_PAUSE,0.0,0.0,0.0,763904,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:42:53.391+02:00@2188778.904,0.005746,G1_EVACUATION_PAUSE,0.01,0.0,0.01,753664,181248,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:43:01.366+02:00@2188786.879,0.005789,G1_EVACUATION_PAUSE,0.01,0.0,0.01,753664,182272,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:43:08.670+02:00@2188794.183,0.0073479999999999995,G1_EVACUATION_PAUSE,0.01,0.0,0.01,759808,182272,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:43:15.242+02:00@2188800.755,0.006450999999999999,G1_EVACUATION_PAUSE,0.01,0.0,0.0,760832,182272,921600,921600,111841,111841,112576,112576
G1GCYoungInitialMark,PauseEvent,2023-07-18T18:43:21.160+02:00@2188806.673,0.006801,G1_HUMONGOUS_ALLOCATION,0.01,0.0,0.0,705536,182272,921600,921600,111841,111841,112576,112576
G1GCConcurrentUndoCycle,ConcurrentEvent,2023-07-18T18:43:21.166+02:00@2188806.680,0.001315,GCCAUSE_NOT_SET,0,0,0,0,0,0,0,0,0,0,0
ConcurrentCleanupForNextMark,ConcurrentEvent,2023-07-18T18:43:21.166+02:00@2188806.680,0.001284,UNKNOWN_GCCAUSE,0,0,0,0,0,0,0,0,0,0,0
Young,PauseEvent,2023-07-18T18:43:27.698+02:00@2188813.211,0.0057009999999999995,G1_EVACUATION_PAUSE,0.01,0.0,0.0,743424,182272,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:43:33.966+02:00@2188819.479,0.006176,G1_EVACUATION_PAUSE,0.01,0.01,0.01,748544,182272,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:43:39.843+02:00@2188825.356,0.005948,G1_EVACUATION_PAUSE,0.01,0.0,0.01,745472,182272,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:43:46.024+02:00@2188831.537,0.006320999999999999,G1_EVACUATION_PAUSE,0.01,0.0,0.01,745472,182272,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:43:52.779+02:00@2188838.293,0.006418999999999999,G1_EVACUATION_PAUSE,0.01,0.01,0.0,763904,182272,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:43:59.072+02:00@2188844.585,0.0060090000000000005,G1_EVACUATION_PAUSE,0.01,0.0,0.01,751616,182272,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:44:05.787+02:00@2188851.300,0.006533000000000001,G1_EVACUATION_PAUSE,0.02,0.0,0.01,733184,183296,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:44:11.847+02:00@2188857.360,0.007186,G1_EVACUATION_PAUSE,0.01,0.0,0.01,771072,182272,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:44:18.460+02:00@2188863.973,0.0059299999999999995,G1_EVACUATION_PAUSE,0.01,0.0,0.0,757760,183296,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:44:24.706+02:00@2188870.219,0.005769,G1_EVACUATION_PAUSE,0.01,0.0,0.01,760832,183296,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:44:30.889+02:00@2188876.402,0.00889,G1_EVACUATION_PAUSE,0.01,0.0,0.01,749568,183296,921600,921600,111841,111841,112576,112576
Young,PauseEvent,2023-07-18T18:44:37.512+02:00@2188883.025,0.00651,G1_EVACUATION_PAUSE,0.01,0.0,0.01,764928,183296,921600,921600,111841,111841,112576,112576
G1GCYoungInitialMark,PauseEvent,2023-07-18T18:44:43.545+02:00@2188889.058,0.006711,G1_HUMONGOUS_ALLOCATION,0.01,0.0,0.01,768000,183296,921600,921600,111841,111841,112576,112576
